gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
ATP6AP1	ID_1950	39	0.00	0.79	1.99	2.09	2.52	3.09	2.97
DNASE1L1	ID_1951	19	0.00	-0.75	0.81	0.82	0.70	-0.17	1.19
CCL9	ID_1953	25	0.00	0.42	-0.02	0.86	0.06	2.41	1.29
SCRN1	ID_1954	49	0.00	0.99	1.78	1.94	1.81	1.57	1.88
BC005537	ID_1955	49	0.00	0.69	1.07	0.95	0.32	-0.11	0.72
ISYNA1	ID_1956	16	0.00	-0.66	-0.39	-0.44	-0.37	-1.16	-1.83
HARS2	ID_1957	38	0.00	0.53	0.74	0.22	0.00	-0.18	0.37
TMEM160	ID_1959	39	0.00	0.23	0.28	0.74	1.33	1.74	0.97
RAB5C	ID_1960	49	0.00	0.14	0.52	0.78	0.88	0.61	0.56
STYXL1	ID_1961	8	0.00	-1.75	-0.19	-1.18	-0.11	-0.17	-¡Þ
MDH2	ID_1962	39	0.00	0.19	0.53	0.55	0.75	1.07	0.67
H13	ID_1963	16	0.00	0.64	0.83	0.87	1.02	0.17	-0.58
RNF145	ID_1964	44	0.00	0.20	0.36	0.27	0.36	-0.38	-0.06
SCN1B	ID_1965	39	0.00	2.54	4.49	5.07	6.39	10.33	10.26
ATP6V1E1	ID_1966	39	0.00	0.83	0.91	1.12	1.25	2.53	2.07
CHTF18	ID_1967	10	0.00	-0.61	-2.51	-2.50	-2.43	-3.82	-4.26
LHX9	ID_1968	44	0.00	2.45	3.08	1.84	1.69	-1.40	-1.06
RPS6KL1	ID_1970	49	0.00	2.65	4.86	4.75	5.35	5.36	5.05
PPP1R12C	ID_1971	39	0.00	0.33	0.54	0.76	0.57	1.33	1.59
AHR	ID_1972	39	0.00	1.30	2.57	1.72	1.47	3.05	2.87
MAP1S	ID_1973	30	0.00	0.25	0.68	0.37	0.43	0.23	1.24
DPEP1	ID_1974	3	0.00	-4.33	-2.77	-2.18	-3.70	-3.76	-¡Þ
TMEM129	ID_1975	22	0.00	0.42	-0.27	0.02	0.15	0.91	0.72
NOP9	ID_1976	10	0.00	-0.07	-0.53	-0.53	-0.52	-1.83	-2.06
ATP6V0A1	ID_1978	39	0.00	0.95	2.63	2.29	2.64	3.09	4.05
PSMC3IP	ID_1979	10	0.00	-0.36	-2.02	-1.83	-2.19	-2.94	-3.45
GRB7	ID_1980	13	0.00		-0.74	-1.06	-0.18	-0.24	0.31
NOXO1	ID_1981	41	0.00	0.84	1.40	0.89	1.47	0.41	0.23
ZFP687	ID_1983	20	0.00	0.11	-0.60	-0.38	-0.27	-0.79	-0.29
GDPD2	ID_1984	16	0.00	0.56	2.12	1.34	1.34	-0.21	-1.97
D8ERTD738E	ID_1985	2	0.00	-0.44	-0.72	-0.56	-0.53	-0.18	-0.82
CALM3	ID_1987	39	0.00	0.88	1.39	1.49	2.08	2.34	2.11
COPS3	ID_1988	10	0.00	0.02	-0.72	-0.68	-0.60	-0.89	-1.33
FKBP8	ID_1989	39	0.00	0.42	0.34	0.68	0.94	1.50	0.83
DDX39B	ID_1990	10	0.00	-0.01	-0.24	-0.33	-0.68	-1.66	-1.28
GIPC1	ID_1991	2	0.00	-0.10	-0.50	-0.30	-0.25	0.27	-0.84
TLCD1	ID_1992	39	0.00	-0.65	-1.09	0.50	1.19	2.51	1.74
PLSCR3	ID_1993	44	0.00	0.07	0.10	0.25	-0.02	-1.74	-1.10
ARHGEF25	ID_1995	23	0.00	0.08	0.22	0.55	0.06	0.80	2.16
XAB2	ID_1996	27	0.00	0.28	-0.13	0.18	-0.36	-0.61	0.06
CDC37	ID_1997	20	0.00	-0.40	-0.79	-0.56	-0.61	-0.60	-0.76
RAB4A	ID_1998	39	0.00	0.37	0.82	1.14	1.01	1.61	1.14
