gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
TUBB6	ID_240	10	0.00	-1.49	-2.68	-2.37	-2.83	-4.90	-7.51
DEF8	ID_241	47	0.00	0.60	0.81	0.39	0.89	0.35	0.10
MEOX1	ID_242	34	0.00		-0.77	0.40	-0.11	0.24	-2.20
NKX2-1	ID_244	10	0.00	2.04	0.70	-0.18	-0.47	-3.59	-4.62
IRX2	ID_246	44	0.00	0.71	1.24	0.36	0.19	-2.55	-¡Þ
COL1A1	ID_247	31	0.00	0.09	0.20	2.17	-1.28	-1.15	-3.40
ITGA3	ID_248	17	0.00	-0.59	1.44	0.77	1.16	-0.08	-0.18
FOXM1	ID_251	10	0.00	-0.20	-2.29	-2.52	-3.38	-5.03	-4.48
ITFG2	ID_252	17	0.00	-0.03	0.83	0.75	0.75	-0.34	0.35
NRIP2	ID_253	39	0.00	0.84	2.57	2.72	3.47	5.54	4.49
TULP3	ID_254	44	0.00	0.08	-0.11	-0.08	-0.27	-1.40	-0.67
GTF2H4	ID_255	20	0.00	-0.52	-1.36	-1.12	-0.95	-0.67	-0.98
TUBB5	ID_256	16	0.00	0.49	0.72	0.87	0.72	-1.69	-2.10
ELL2	ID_257	25	0.00	-2.90	-2.12	-1.92	-2.85	1.48	1.81
JUP	ID_258	49	0.00	0.91	2.20	1.64	1.40	0.57	2.05
FKBP10	ID_259	17	0.00	-0.68	-0.64	-0.28	-0.90	-3.19	-2.00
NOM1	ID_261	12	0.00	-0.12	-0.15	-0.30	-1.13	-0.82	-0.05
ERGIC1	ID_262	49	0.00	0.32	0.87	0.71	0.56	0.23	0.74
TCEA3	ID_265	7	0.00	-1.48	-0.34	0.08	-0.26	-0.33	-1.36
STK38L	ID_268	25	0.00	0.19	0.13	-0.21	-0.30	0.36	1.01
BRPF1	ID_269	26	0.00	-0.01	-0.01	0.02	0.12	-0.82	-0.01
AKR1B1	ID_270	10	0.00	-0.88	-1.48	-1.47	-1.23	-1.47	-1.85
GSTT1	ID_275	39	0.00	0.28	0.98	2.12	2.62	1.85	1.80
GSTT3	ID_276	39	0.00	-0.16	0.40	2.99	3.06	2.73	3.55
DDX18	ID_280	10	0.00	-0.57	-1.75	-1.70	-2.14	-2.42	-2.70
UBL3	ID_281	39	0.00	1.00	1.42	1.66	1.39	2.98	3.01
GRAMD2B	ID_282	13	0.00	-1.38	-1.27	-1.40	-0.85	0.04	0.64
EEF1E1	ID_283	16	0.00	0.35	0.06	0.28	0.67	-0.65	-1.38
AKT1	ID_284	41	0.00	0.75	0.98	1.11	0.93	-0.17	-0.16
IL16	ID_286	23	0.00	2.42	0.40	1.99	0.47	0.41	5.36
TCIRG1	ID_287	23	0.00	-0.45	-0.25	0.40	0.60	-0.24	1.26
NAGLU	ID_288	37	0.00	0.45	1.07	0.96	1.88	0.57	1.40
SMO	ID_290	10	0.00	-0.76	-1.38	-1.85	-2.49	-3.26	-3.26
TSPAN33	ID_291	9	0.00	-2.56	-0.10	-0.25	-0.17	1.04	0.84
CRNKL1	ID_292	10	0.00	-0.10	-1.13	-1.22	-1.82	-2.21	-2.40
RIN2	ID_293	40	0.00	0.29	0.81	0.07	-0.23	0.73	0.84
FOLH1	ID_294	39	0.00		2.72	1.99	4.17	5.66	3.97
CHORDC1	ID_295	10	0.00	-0.32	-0.92	-0.98	-1.23	-1.32	-1.24
RTCB	ID_296	16	0.00	-0.35	-0.28	-0.32	-0.17	-0.59	-0.81
PWP1	ID_297	10	0.00	-0.03	-0.81	-0.70	-0.78	-1.78	-1.98
FBXO7	ID_298	6	0.00	-0.47	0.33	-0.08	0.44	1.38	0.86
CAPNS1	ID_299	37	0.00	0.10	0.52	0.63	1.06	0.60	0.40
LRP3	ID_300	49	0.00	0.76	1.31	1.23	0.72	0.23	0.80
FOLR1	ID_303	41	0.00	-0.16	1.06	1.83	1.16	0.79	0.24
CLPB	ID_304	23	0.00	-0.34	-0.51	-0.06	-0.01	0.42	0.61
SEPTIN7	ID_305	25	0.00	0.22	-0.13	-0.42	-0.70	0.54	1.22
ZDHHC4	ID_306	41	0.00	0.40	0.81	0.51	0.82	0.07	0.23
RAC1	ID_307	30	0.00	0.11	0.48	0.43	0.12	0.04	0.59
NUP214	ID_308	27	0.00	-0.09	0.45	-0.15	-0.39	-1.33	0.38
AIF1L	ID_309	10	0.00	-0.18	-1.40	-1.19	-1.23	-3.25	-2.30
LTBP1	ID_311	12	0.00	-0.28	-1.98	-0.60	-2.64	-3.29	-0.93
UGP2	ID_312	39	0.00	-0.22	0.20	0.17	0.16	0.81	0.56
KCNH6	ID_313	48	0.00		2.98	3.40	3.06	2.73	0.97
TRMT1	ID_314	26	0.00	0.21	0.29	0.46	0.66	-0.07	0.23
NACC1	ID_315	11	0.00	-0.18	-0.28	-0.46	-0.50	-0.53	0.14
NFIX	ID_316	49	0.00	5.62	6.02	7.32	6.10	5.18	7.77
SLC1A5	ID_317	10	0.00	-0.69	-1.31	-1.31	-2.10	-4.16	-3.02
UBA1	ID_318	17	0.00	0.60	1.20	0.75	0.54	-0.58	0.09
VWF	ID_319	38	0.00	0.29	1.26	-0.25	0.60	-0.24	0.51
SIAE	ID_320	30	0.00	0.01	0.31	0.21	0.06	0.66	1.72
VSIG2	ID_321	36	0.00	0.84	0.40	2.72		0.41	2.55
ESAM	ID_322	41	0.00	0.20	0.91	1.19	0.84	0.41	-0.57
SPA17	ID_323	16	0.00	0.14	0.50	0.22	0.05	-1.02	-1.46
FAM50A	ID_324	44	0.00	0.15	0.24	0.14	0.11	-1.12	-0.56
EMD	ID_325	20	0.00	-0.13	-0.56	-0.44	-0.67	-0.53	-0.58
TACO1	ID_326	12	0.00	-0.32	-0.35	-0.16	-0.71	-0.61	-0.06
GRIK3	ID_327	49	0.00	2.57	3.88	3.90	3.41	2.76	3.72
GRIA3	ID_328	39	0.00	1.16	2.98	2.94	2.88	4.78	5.93
NPAS1	ID_329	39	0.00	2.84	3.40	5.16	5.72	5.27	5.21
SIPA1L2	ID_330	38	0.00	1.20	1.44	0.82	0.07	0.00	0.89
AP4E1	ID_331	17	0.00	-0.03	0.80	0.58	-0.31	-1.22	-0.08
BLVRA	ID_332	39	0.00	0.38	0.23	0.09	0.61	1.36	1.01
PDZD4	ID_333	49	0.00	2.42	3.64	3.62	3.47	2.32	2.82
IDH3G	ID_335	39	0.00	0.05	-0.00	0.09	0.11	0.56	0.55
PNCK	ID_336	48	0.00	2.24	3.63	3.89	4.14	4.28	2.92
SSR4	ID_337	1	0.00	-0.10	-0.40	-0.06	0.47	0.27	-0.47
BCAP31	ID_338	11	0.00	-0.53	-0.35	-0.77	-0.62	-0.18	-0.16
FAM98A	ID_339	10	0.00	0.09	-0.28	-0.33	-0.39	-0.85	-0.41
KMT2A	ID_341	27	0.00	0.66	1.26	0.72	-0.32	-0.83	0.71
IFT46	ID_342	47	0.00	0.46	0.38	0.72	0.49	0.35	-0.64
TMEM25	ID_343	39	0.00	0.16	1.92	2.10	2.38	4.55	4.99
TRAPPC6A	ID_345	16	0.00	0.03	0.12	-0.12	0.32	0.28	-0.88
SUPT6	ID_346	30	0.00	0.03	0.52	0.33	0.00	0.06	1.07
SPAG5	ID_347	10	0.00	-0.52	-2.07	-2.19	-2.40	-3.57	-4.13
UNC119	ID_348	16	0.00	0.41	0.42	0.69	1.22	0.05	-0.84
RAB34	ID_349	16	0.00	-1.09	-0.52	-0.37	-0.27	-1.15	-1.51
SDF2	ID_350	18	0.00	0.23	0.29	0.48	0.81	0.75	0.25
CCNE1	ID_351	11	0.00	-1.35	-2.06	-2.27	-2.11	-1.76	-1.27
BBC3	ID_353	41	0.00	-0.02	0.92	1.66	1.89	-0.80	-0.94
PSMC3	ID_355	11	0.00	-0.32	-0.65	-0.61	-0.47	-0.41	-0.35
ACP2	ID_356	39	0.00	0.48	0.56	0.64	0.49	0.75	1.19
RAPSN	ID_357	48	0.00	0.25	0.81	1.14	0.47	1.15	0.38
SLC39A13	ID_358	39	0.00	-0.16	0.94	0.70	0.91	1.22	1.37
CELF2	ID_359	49	0.00	1.73	2.04	2.20	1.01	0.58	1.57
NR1H3	ID_360	39	0.00	0.03	0.91	0.76	0.67	1.30	0.97
DDB2	ID_361	49	0.00	1.27	1.09	0.79	1.42	1.03	1.17
SPI1	ID_362	23	0.00	0.63	0.40	1.03	0.47	0.65	1.68
SF3A1	ID_363	10	0.00	0.21	-0.31	-0.40	-0.86	-1.42	-0.60
STAT6	ID_364	3	0.00	-1.03	-0.23	-0.74	-0.16	-1.74	-0.18
CLGN	ID_365	49	0.00	2.30	3.92	4.10	3.80	3.58	3.29
NAPSA	ID_366	40	0.00	-1.16	2.72		-0.53	2.00	1.97
VRK3	ID_367	22	0.00	-0.03	-0.50	-0.18	-0.06	0.19	-0.11
SMG9	ID_368	49	0.00	0.46	1.34	1.17	1.17	1.16	1.76
PAXIP1	ID_369	12	0.00	-0.10	-0.22	-0.18	-0.55	-0.56	-0.06
RMND5A	ID_370	25	0.00	-0.37	-0.18	-0.69	-1.03	-0.14	0.88
MOV10	ID_371	21	0.00	-0.09	0.47	-1.04	0.31	-1.03	-0.28
PPM1J	ID_372	19	0.00	-1.16	0.40	0.72	0.06	-0.00	-¡Þ
RHOC	ID_373	10	0.00	-0.71	-0.83	-0.86	-0.98	-1.51	-2.65
TEAD3	ID_375	10	0.00	-1.26	-1.00	-0.81	-2.58	-2.64	-3.31
PPARD	ID_376	6	0.00	-0.32	-0.07	-0.34	-0.13	0.41	0.54
DEF6	ID_377	41	0.00	0.93	1.72	1.86	2.00	1.11	-0.45
PEG3	ID_378	30	0.00	-0.05	0.76	0.03	-0.15	0.12	0.72
ZIM1	ID_379	17	0.00	0.32	1.85	1.54	1.37	-1.91	-1.36
METRN	ID_380	2	0.00	-1.33	-1.42	-1.43	-0.87	-0.74	-1.24
LMF1	ID_381	18	0.00	-0.05	0.44	0.47	0.40	1.01	0.43
CIAO3	ID_382	39	0.00	0.57	0.56	0.85	0.61	1.60	0.94
ANGPTL4	ID_383	16	0.00	-0.95	-0.42	-0.28	0.06	-2.24	-3.17
DBF4	ID_384	10	0.00	-0.62	-2.45	-2.74	-3.43	-7.02	-6.47
DAXX	ID_385	17	0.00	0.11	0.25	0.47	0.05	-1.65	-0.87
CD320	ID_386	2	0.00	-0.44	-0.82	-0.79	-0.40	-0.46	-1.78
IPO4	ID_387	17	0.00	-0.27	0.70	0.52	0.58	-0.44	-0.04
TM9SF1	ID_388	49	0.00	0.52	0.57	0.57	0.59	0.16	0.57
REC8	ID_389	19	0.00	-0.16	2.72	2.40	2.06		2.97
IRF9	ID_390	41	0.00	0.02	0.78	0.97	0.20	0.14	0.03
GMPR2	ID_391	12	0.00	-0.37	-0.85	-0.42	-0.96	-0.93	-0.86
MDP1	ID_392	41	0.00	0.31	0.57	0.68	0.70	0.35	0.29
DHRS1	ID_393	39	0.00	0.11	0.04	0.49	0.51	1.11	0.96
NCAN	ID_394	49	0.00	2.91	4.20	3.50	3.01	1.83	2.98
TMEM161A	ID_395	1	0.00	-0.03	-0.38	0.27	0.43	0.26	-0.11
ARMC6	ID_396	41	0.00	0.95	1.53	2.17	2.54	1.27	0.62
BORCS8	ID_397	49	0.00	0.53	0.41	0.56	0.49	0.43	0.38
SLC25A42	ID_398	39	0.00	0.35	2.35	1.60	1.67	2.41	3.44
SNX9	ID_399	2	0.00	-0.90	-0.62	-0.78	-0.99	-0.81	-1.05
NDUFA11	ID_401	18	0.00	-0.03	0.24	0.27	0.67	0.95	0.43
NR2F6	ID_403	1	0.00	-1.18	-1.35	-0.79	-0.46	-1.11	-1.29
USE1	ID_404	37	0.00	0.50	0.46	0.78	0.89	0.65	0.41
OCEL1	ID_405	18	0.00	0.72	1.56	2.48	3.11	3.62	-0.15
DYRK1B	ID_406	46	0.00	0.42	0.65	-0.29	0.17	0.75	0.70
BRAF	ID_407	30	0.00	-0.05	0.92	0.66	0.16	0.95	2.42
NDUFB2	ID_408	18	0.00	0.04	0.08	0.51	1.12	1.45	0.37
HLTF	ID_409	12	0.00	0.29	-0.78	-0.44	-1.21	-1.60	-0.44
PRPF6	ID_410	44	0.00	0.09	0.07	-0.01	-0.35	-0.91	-0.25
RGS19	ID_411	1	0.00	-0.52	-0.26	0.03	0.53	-0.27	-0.19
RGS20	ID_412	39	0.00	2.60	2.88	2.47	2.96	3.58	4.93
ABHD3	ID_413	39	0.00	0.25	1.40	0.40	3.75	6.40	6.14
SNRPD1	ID_414	10	0.00	-0.44	-1.11	-1.33	-1.75	-2.67	-2.75
TCHP	ID_415	44	0.00	0.53	0.60	0.54	0.25	-1.36	-0.93
TIAM1	ID_416	40	0.00	0.74	1.58	1.50	-0.04	1.64	2.41
TSC2	ID_417	30	0.00	0.53	1.33	0.84	0.17	-0.10	1.54
NHERF2	ID_419	39	0.00	-0.62	0.55	0.92	1.38	1.89	1.32
PUF60	ID_420	10	0.00	-0.09	-0.27	-0.21	-0.28	-0.52	-0.72
GOLGA2	ID_421	39	0.00	0.52	1.07	0.84	0.99	0.98	1.56
UCK1	ID_422	37	0.00	0.29	0.49	0.57	0.93	0.45	0.05
IKZF4	ID_424	49	0.00	1.54	3.86	2.72	1.47	0.22	1.77
MIEN1	ID_425	48	0.00	0.80	1.10	1.33	1.63	1.81	1.23
AXL	ID_427	45	0.00	0.56	0.30	-0.05	-0.02	-0.01	0.86
TGFB1	ID_428	5	0.00	-0.53	0.65	0.03	-0.90	-0.64	0.01
CCDC97	ID_429	38	0.00	0.47	0.86	0.27	0.47	-0.17	0.20
ZFP40	ID_430	17	0.00	0.28	1.26	0.99	0.06	-0.70	0.62
AKAP8L	ID_431	49	0.00	0.43	1.34	1.30	1.08	0.86	1.99
SHH	ID_432	10	0.00	-1.11	-1.59	-3.51	-2.86	-3.37	-4.27
PDCD2L	ID_433	41	0.00	0.36	0.21	0.65	0.63	-0.05	-0.40
CLPP	ID_435	18	0.00	-0.00	0.04	0.20	0.35	0.58	0.01
ALKBH7	ID_436	18	0.00	0.04	0.52	0.80	1.12	1.09	0.09
DENND1C	ID_437	47	0.00	1.65	2.57	2.07	1.98		-1.62
MED6	ID_438	10	0.00	-0.45	-1.45	-1.57	-1.48	-1.83	-2.37
PRKD1	ID_439	23	0.00	0.30	-1.02	-0.28	-0.65	-0.27	0.55
LCP2	ID_440	36	0.00	1.65	1.72	2.72	2.06	-0.59	1.55
CSE1L	ID_441	10	0.00	-0.54	-1.59	-1.46	-1.91	-2.12	-2.45
NAA20	ID_442	22	0.00	0.05	-0.55	-0.30	0.21	0.59	0.08
PRKRA	ID_443	16	0.00	0.21	-0.04	0.17	0.23	-1.51	-2.05
FKBP7	ID_444	34	0.00	-0.01	-0.27	0.35	-0.11	-0.02	-0.79
PLEKHA3	ID_445	45	0.00	0.65	0.64	0.78	0.58	0.60	1.55
YKT6	ID_446	41	0.00	0.51	0.90	0.99	1.24	-0.02	-0.46
BAZ1B	ID_447	10	0.00	0.01	-0.38	-0.76	-1.37	-2.02	-0.69
PEX6	ID_448	45	0.00	0.48	0.44	0.58	0.23	0.28	0.90
MRPL2	ID_449	2	0.00	-0.24	-0.53	-0.51	-0.38	-0.09	-0.73
MEA1	ID_450	18	0.00	0.23	0.28	0.56	1.24	0.88	-0.16
GNMT	ID_451	39	0.00	-0.16	1.40	1.99	3.64	2.73	3.97
GRIN2D	ID_452	49	0.00	4.01	7.39	6.59	6.70	4.80	5.36
KDELR1	ID_453	26	0.00	0.25	0.28	0.18	0.51	-0.20	-0.03
TMEM143	ID_454	39	0.00	-0.32	0.91	0.80	1.42	1.38	1.44
GGCT	ID_455	39	0.00	-0.87	0.23	0.19	0.30	1.57	1.03
JAG2	ID_456	41	0.00	1.05	1.80	2.57	2.08	1.01	1.23
BTBD6	ID_457	39	0.00	0.98	1.70	1.86	2.03	2.34	2.75
NUDT14	ID_458	34	0.00	-0.47	-0.81	-0.24	-0.59	-0.65	-1.67
EPDR1	ID_459	39	0.00	0.80	0.44	0.86	1.37	3.44	3.74
FLII	ID_460	27	0.00	0.02	0.34	0.43	-0.03	-0.76	0.34
TOP3A	ID_461	10	0.00	-0.31	-0.92	-1.01	-1.53	-2.59	-1.77
ATG4D	ID_462	46	0.00	0.65	0.38	0.52	0.55	1.16	0.79
QTRT1	ID_463	10	0.00	-0.32	-0.62	-0.35	-0.78	-1.53	-1.14
HDGFL2	ID_465	44	0.00	0.24	0.15	0.00	-0.01	-0.74	-0.43
CHAF1A	ID_466	10	0.00	-0.90	-2.36	-2.49	-3.51	-4.31	-4.60
ADPRH	ID_467	48	0.00	0.39	0.55	0.54	0.61	0.53	0.13
TMEM39A	ID_468	10	0.00	-0.51	-0.93	-1.06	-1.54	-2.92	-2.05
TIMMDC1	ID_469	12	0.00	0.37	-0.16	0.03	-0.81	-0.48	-0.09
PLA1A	ID_470	19	0.00	-1.16		1.72	1.47	0.41	1.55
MCM2	ID_471	10	0.00	-0.69	-2.56	-2.50	-3.11	-5.68	-4.86
TPRA1	ID_472	39	0.00	0.42	0.84	0.53	0.44	0.88	1.13
NAB1	ID_473	49	0.00	0.16	1.57	1.24	0.71	0.69	1.20
ADGRE5	ID_474	17	0.00	0.07	0.40	0.20	-0.46	-0.94	-0.75
IL17RA	ID_475	25	0.00	0.49	1.18	0.60	-0.33	2.19	2.74
LAMB1	ID_476	17	0.00	-0.62	0.18	0.23	-1.29	-2.61	-1.51
KCNN1	ID_477	48	0.00	1.04	0.94	0.92	1.22	0.85	0.56
ARRDC2	ID_478	39	0.00	0.63	0.75	1.11	1.10	2.00	2.46
PPP1R17	ID_479	10	0.00	0.11	-0.99	-2.10	-2.29	-2.68	-¡Þ
CD36	ID_480	17	0.00	0.69	2.94	1.54	-0.26	-1.91	-1.36
MAP2K7	ID_481	25	0.00	0.37	0.42	0.50	0.05	0.75	1.02
TIMM44	ID_482	2	0.00	-0.72	-0.66	-0.69	-0.74	-0.30	-0.47
AP2A2	ID_483	39	0.00	0.35	1.00	1.08	0.61	0.79	1.66
PNKP	ID_484	35	0.00	0.75	0.04	0.80	0.81	0.72	0.18
MED25	ID_485	44	0.00	0.37	0.49	0.26	0.19	-0.43	0.04
BCAM	ID_486	7	0.00	-1.99	-1.23	-1.32	-0.79	-1.69	-1.66
CLPTM1	ID_487	39	0.00	0.33	1.00	1.11	1.43	1.60	1.13
RELB	ID_488	49	0.00	1.58	1.72	1.99	1.89	2.00	1.70
TOMM40	ID_489	18	0.00	-0.29	-0.07	-0.15	0.59	0.37	-0.06
APOE	ID_490	39	0.00	0.34	1.71	2.79	4.49	5.56	4.99
HBP1	ID_492	10	0.00	-0.04	-0.58	-0.81	-1.33	-1.70	-1.44
PRKAR2B	ID_493	41	0.00	1.10	1.90	2.16	1.86	0.16	0.29
CDKN1B	ID_494	44	0.00	1.19	0.43	0.97	0.28	-0.95	0.20
KLF4	ID_495	19	0.00	0.16	0.81	1.28	0.47	0.41	0.70
AP1M1	ID_496	41	0.00	0.52	0.86	0.82	0.73	-0.44	-0.67
RAB8A	ID_497	10	0.00	-0.04	-0.64	-0.61	-0.25	-0.79	-1.39
HMGN2	ID_498	10	0.00	-0.06	-1.12	-1.15	-1.72	-3.45	-3.53
FAM32A	ID_499	47	0.00	0.41	0.28	0.10	0.14	-0.24	-0.50
STARD3NL	ID_502	41	0.00	0.43	0.71	0.78	0.71	-0.01	-0.40
STK11	ID_503	44	0.00	0.29	0.41	0.55	-0.01	-0.28	0.02
EFNA2	ID_504	10	0.00	-0.02	-0.25	-0.56	-0.55	-2.80	-3.00
ATP5F1D	ID_505	39	0.00	0.05	0.30	0.33	0.61	1.13	0.66
PPP5C	ID_506	39	0.00	0.04	0.34	0.29	0.94	1.26	1.02
CDK12	ID_507	43	0.00	0.17	0.25	-0.52	-1.85	-1.40	-0.26
LIPE	ID_508	41	0.00	0.03	0.84	1.35	1.06	0.77	0.33
PAFAH1B2	ID_509	27	0.00	0.48	0.55	0.45	-0.54	-1.00	0.12
TBC1D8	ID_510	39	0.00	0.48	1.40	2.19	1.76	2.45	2.12
CNOT11	ID_511	12	0.00	-0.28	-0.57	-0.15	-0.83	-0.65	-0.53
SLC2A3	ID_512	13	0.00	-1.88	-0.82	-0.62	-0.06	0.59	0.84
FOXJ2	ID_513	49	0.00	0.97	1.98	1.93	1.56	1.22	2.42
SRI	ID_514	34	0.00	-0.19	-0.36	-0.10	-0.13	-0.14	-0.82
DGCR2	ID_515	17	0.00	0.16	0.54	0.62	0.40	-0.45	-0.16
IRF3	ID_516	10	0.00	0.08	-0.45	-0.39	-0.97	-1.36	-0.62
BCL2L12	ID_517	10	0.00	-0.42	-1.62	-1.47	-2.13	-2.78	-2.64
ZFP959	ID_518	10	0.00	0.05	-0.49	-0.60	-0.32	-1.48	-1.15
MPND	ID_519	47	0.00	0.73	0.62	0.65	0.55	0.40	-0.03
SH3GL1	ID_520	10	0.00	0.03	-0.16	0.07	-0.22	-0.49	-0.79
EBI3	ID_521	41	0.00	0.65	1.72	1.79	2.38	0.41	-0.03
RANBP2	ID_523	12	0.00	-0.21	-0.54	-1.29	-1.84	-1.43	-0.32
EDAR	ID_524	28	0.00	0.84	0.40	2.40		1.41	1.97
GRK5	ID_525	29	0.00	0.23	1.16	0.29	0.47	0.84	-0.15
DVL3	ID_526	17	0.00	0.37	1.01	0.30	-0.67	-1.28	-0.22
ABCF3	ID_527	39	0.00	0.33	0.40	0.51	0.73	0.86	0.66
EIF2B5	ID_528	10	0.00	-0.08	-0.12	-0.10	-0.30	-0.61	-0.52
CYTH2	ID_529	41	0.00	1.13	1.27	1.26	1.30	0.62	0.43
SULT2B1	ID_530	39	0.00		0.40	2.21	2.47	4.87	4.55
CAR11	ID_531	39	0.00	2.05	3.51	4.12	4.62	5.64	5.47
DLGAP1	ID_532	39	0.00	3.75	6.35	6.55	7.12	9.16	10.11
PLAG1	ID_533	12	0.00	-0.25	-1.60	-1.86	-2.79	-3.59	-1.03
HCK	ID_534	18	0.00	0.06	0.98	0.82	1.70	1.00	-0.03
MRPL4	ID_535	39	0.00	0.05	-0.09	0.14	0.10	0.60	0.49
KEAP1	ID_536	39	0.00	0.42	1.20	0.99	1.35	1.36	1.53
AP1M2	ID_537	14	0.00	-2.07	-0.92	-0.05	-1.11	-1.91	-1.94
GLG1	ID_538	30	0.00	0.35	0.92	0.46	0.04	0.13	1.36
ATP8B3	ID_539	16	0.00	0.65	1.72	1.21	1.64	0.41	-1.03
BTBD2	ID_540	49	0.00	0.47	0.73	0.69	0.33	0.27	0.48
CSNK1G2	ID_541	39	0.00	-0.03	-0.19	-0.08	0.10	0.55	0.56
ABHD17A	ID_542	39	0.00	0.55	0.75	0.89	1.52	2.29	1.62
MOB3A	ID_543	17	0.00	0.02	0.53	0.06	0.36	-2.02	-1.88
CACNB3	ID_544	49	0.00	1.51	2.23	2.24	1.95	1.96	2.34
CCDC65	ID_545	39	0.00	0.84	2.81	2.99	3.06	3.41	2.97
FKBP11	ID_546	14	0.00	-1.84	-1.49	-0.66	-1.65	-2.00	-1.81
DDX23	ID_547	27	0.00	0.21	-0.26	0.01	-0.82	-1.13	0.23
PLD3	ID_548	39	0.00	1.25	2.18	2.67	3.50	4.75	4.38
GRIK5	ID_549	49	0.00	1.19	2.15	1.67	1.96	1.90	2.49
CD79A	ID_550	18	0.00	-0.16		1.40	2.80	3.22	0.97
RABAC1	ID_551	39	0.00	0.68	1.59	1.91	2.75	2.93	2.19
ETV3	ID_552	27	0.00	0.14	0.49	0.24	-0.59	-0.04	0.55
PRKCSH	ID_553	17	0.00	0.26	0.54	0.38	0.40	-0.16	-0.04
ELAVL3	ID_554	49	0.00	2.46	3.54	3.19	3.01	1.43	2.17
RAB3B	ID_555	49	0.00	1.26	3.61	3.68	4.57	4.11	4.04
FCGRT	ID_557	49	0.00	0.74	2.03	2.25	2.57	2.18	1.41
NOSIP	ID_558	18	0.00	0.13	0.44	0.59	0.65	0.64	0.27
PIH1D1	ID_559	16	0.00	0.15	0.01	0.30	0.32	-0.61	-1.37
RPS11	ID_560	10	0.00	-0.15	-0.57	-0.53	-1.00	-2.07	-1.92
SUPT5	ID_561	27	0.00	0.11	0.29	0.37	0.12	-0.17	0.52
DLL3	ID_562	10	0.00	0.35	-0.17	-1.16	-1.25	-2.74	-3.38
PAF1	ID_563	17	0.00	0.09	0.58	0.12	0.18	-0.56	0.17
TIMM50	ID_564	10	0.00	-0.27	-0.90	-0.79	-0.35	-1.38	-1.74
MED29	ID_565	11	0.00	-0.37	-0.55	-0.39	-0.63	-0.13	-0.14
BICD1	ID_566	40	0.00	-0.42	0.62	0.99	-1.11	0.41	0.97
NCSTN	ID_567	27	0.00	0.65	0.81	0.67	0.19	-0.06	0.70
PEX19	ID_568	16	0.00	0.18	0.18	0.26	0.31	0.26	-0.39
PHYHIP	ID_569	39	0.00	-0.16	1.72	1.90	3.89	7.73	8.19
CRHR2	ID_570	19	0.00	-1.16	0.40	1.40	-0.53		2.55
INMT	ID_571	11	0.00		-1.60	-2.60	-2.53	-0.00	1.42
IMPDH1	ID_573	18	0.00	0.33	1.10	1.19	1.81	1.57	1.11
DUSP3	ID_574	39	0.00	0.25	1.57	1.95	1.79	3.97	4.95
PRODH	ID_575	23	0.00	-1.04	-2.32	-1.64	-0.99	1.47	2.36
ESS2	ID_576	47	0.00	0.39	0.52	0.27	0.38	0.03	-0.57
SLC25A1	ID_577	41	0.00	0.58	1.17	1.44	1.44	0.39	-0.08
DGCR6	ID_578	48	0.00	0.42	0.36	0.55	0.96	0.93	0.14
DDR1	ID_579	44	0.00	1.16	0.69	0.27	-0.08	-0.25	-0.27
IER3	ID_580	39	0.00	0.84	1.47	1.78	1.68	2.61	2.17
KLC4	ID_582	44	0.00	0.61	0.31	0.07	-0.13	-0.22	-0.23
ERCC1	ID_583	44	0.00	-0.03	-0.26	-0.01	-0.53	-1.25	-0.35
AS3MT	ID_585	17	0.00	-0.78	0.84	0.03	-0.00	-0.71	-0.82
HOMER3	ID_586	10	0.00	-0.05	-1.03	-0.95	-1.26	-2.05	-1.26
CRTC1	ID_587	49	0.00	1.09	2.42	2.04	1.72	1.83	3.11
RNF215	ID_588	37	0.00	0.76	1.31	1.26	1.84	0.71	0.66
SEC14L2	ID_589	39	0.00	-1.04	-0.06	-0.15	0.87	2.04	2.73
AVEN	ID_590	10	0.00	-0.63	-0.89	-0.80	-0.87	-1.03	-0.89
CP	ID_591	7	0.00	-1.22	0.40	-0.15	-0.08	-0.33	-1.09
CROT	ID_592	11	0.00	-0.09	-1.11	-0.77	-0.47	0.02	-0.12
RPS6KA1	ID_593	17	0.00	-0.01	0.57	0.07	0.50	-0.54	-0.47
CALB2	ID_594	48	0.00	3.54	4.63	5.55	6.21	5.35	2.29
SNRNP200	ID_595	10	0.00	-0.27	-0.19	-0.46	-0.78	-1.40	-0.67
CIAO1	ID_596	22	0.00	0.27	-0.39	0.18	0.34	1.39	0.68
TAF6L	ID_598	44	0.00	-0.02	-0.24	0.28	0.08	-1.13	-0.48
INSIG2	ID_599	39	0.00	0.63	0.94	1.02	0.73	1.55	1.88
KPNA6	ID_600	40	0.00	0.72	1.10	0.88	-0.02	0.59	1.51
MAN1A	ID_601	39	0.00	-0.53	1.61	1.30	1.06	2.67	2.59
ITPKC	ID_602	41	0.00	0.78	0.88	1.18	1.26	-0.23	-0.68
COQ8B	ID_603	49	0.00	0.75	0.77	0.90	0.87	1.03	0.97
BRD8	ID_604	10	0.00	-0.10	-0.14	-0.32	-0.55	-1.19	-0.80
KIF20A	ID_605	10	0.00	-0.86	-2.95	-2.95	-4.04	-7.11	-6.55
