gene_name	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
Rpl19	2932.936362	2181.564047	1389.066487	1709.540974	1986.459501	1356.069284	821.4924742
Nek8	4.259711076	2.465550654	2.643323477	4.636492374	2.436092591	1.33241885	2.446374253
Cacnb4	0.751713719	7.396651962	20.15534151	16.89007936	11.83244973	82.60996869	152.6537534
Plxdc1	0	0	0.991246304	2.649424214	3.480132273	12.65797907	14.67824552
Arl5b	54.87510151	62.31118925	50.88397693	31.79309057	14.61655555	9.326931949	12.72114612
Zfp207	218.7486923	204.1924223	109.6979243	113.2628851	89.43939941	54.29606813	69.47702879
Psmd11	78.92994053	87.86325966	68.39599497	55.96908652	31.32119046	25.98216757	43.54546171
C1qtnf1	0.751713719	2.913832591	8.260385866	7.617094615	5.220198409	0.999314137	3.914198805
Pipox	6.765423474	6.05180615	3.634569781	1.655890134	5.220198409	1.33241885	1.467824552
Timp2	39.08911341	43.93162983	113.0020786	129.4906085	157.649992	167.8847751	150.2073791
Zc3h18	60.38766879	54.46625535	42.9540065	42.39078742	35.14933596	17.65454976	22.50664313
Top2b	228.5209707	336.6597347	302.6605381	244.7405618	164.9582697	53.29675399	69.96630364
Rarb	12.27799075	6.948370024	10.24287847	11.92240896	11.83244973	10.99245551	7.82839761
Igfbp4	173.1447267	122.8292508	100.7767076	113.9252412	79.34701582	103.5955656	149.7181043
Cdc6	45.10282316	17.03471361	5.947477823	4.305314348	1.044039682	0	0
Suz12	92.46078748	91.67365613	60.46602454	48.02081388	28.53708464	17.32144505	33.75996469
Atad5	29.31683505	22.86237879	10.90370934	9.272984749	4.176158727	1.998628275	4.892748506
Crlf3	22.80198282	17.48299555	9.912463039	10.59769686	8.352317455	8.660722524	14.18897067
Tns4	0.50114248	0	0	0	0	0.333104712	0.489274851
Tnfaip1	53.12110283	46.39718049	45.59732998	48.02081388	49.41787827	23.65043459	29.84576589
Abr	20.7974129	89.20810548	164.216471	162.6084111	144.7735026	209.1897594	360.1062901
Rab11fip4	18.2917005	38.10396465	79.63011975	52.65730625	35.84536241	90.27137708	175.6496714
Cd40	3.006854877	2.913832591	1.982492608	0.662356053	0.348013227	1.33241885	0.978549701
Slc35c2	36.33282977	45.27647564	45.26691454	43.71549953	58.46622218	58.62642939	56.26660782
Zfp334	29.81797753	32.27629947	31.71988172	16.22772331	13.92052909	2.6648377	7.33912276
Elmo2	33.32597489	47.06960339	64.76142519	67.56031745	54.98608991	90.9375865	142.8682564
Wsb1	107.9962043	131.3466076	124.8970343	122.8670479	68.906619	16.98834034	40.6098126
Ttpal	25.05712398	31.82801753	44.27566824	39.41018518	29.92913755	33.31047125	41.5883623
Rhot1	33.57654613	47.29374436	50.88397693	49.01434796	48.02582537	40.97187963	54.30950842
Rhbdl3	12.27799075	31.37973559	17.84243347	11.92240896	7.308277773	13.3241885	12.72114612
Ada	8.519422153	5.155242276	1.982492608	2.980602241	5.220198409	0.666209425	1.467824552
Serinc3	101.9824946	86.51841385	125.8882806	118.2305555	115.5403915	240.8347071	260.2942205
Tha1	2.255141158	1.793127748	1.982492608	3.974136321	6.264238091	3.99725655	6.849847909
Pgs1	21.29855538	24.65550654	33.04154346	35.43604886	48.72185182	82.27686398	59.69153178
Birc5	238.5438203	114.9843169	33.04154346	30.13720043	13.92052909	1.998628275	2.446374253
Afmid	25.05712398	8.069074867	14.20786369	11.26005291	12.52847618	22.65112045	13.69969582
Trp53tg5	0	0	0	0	0	0	0
Pigt	14.78370315	23.5348017	58.48353193	41.72843137	63.68642059	32.31115711	45.01328626
Wfdc2	18.54227174	6.500088087	5.286646954	1.324712107	4.176158727	1.998628275	1.957099403
Etv4	15.03427439	4.034537434	9.912463039	8.610628695	23.31688623	10.32624609	8.317672461
Eppin	0	0	0	0	0	0.333104712	0
Dbndd2	4.259711076	5.155242276	6.938724127	8.279450668	16.35662168	247.4968014	175.1603965
Mmp9	0.25057124	2.017268717	13.87744825	9.935340802	3.132119046	1.998628275	0.978549701
Slc12a5	1.753998678	10.53462552	78.63887344	68.88502956	92.57151846	189.8696861	278.39739
Ghdc	4.760853556	3.362114528	6.608308693	8.279450668	8.004304228	2.6648377	2.935649104
Pltp	27.31226514	34.51770915	76.3259654	52.98848428	56.37814282	52.96364928	65.07355513
Slc12a7	27.56283638	21.51753298	13.87744825	9.935340802	4.872185182	0.999314137	5.871298208
Ctsa	42.09596828	37.87982368	59.47477823	64.24853719	72.38675128	118.5852776	93.45149647
Zswim1	6.514852234	15.46572683	23.45949586	16.22772331	13.92052909	15.9890262	26.42084193
Slc12a4	9.020564632	4.706960339	6.938724127	13.90947712	12.52847618	9.660036662	19.08171917
Spata25	0	0	0	0	0	0	0
Myo1c	12.52856199	6.05180615	10.24287847	16.22772331	14.61655555	10.32624609	11.74259642
Crk	161.1173072	155.5538322	112.6716632	113.9252412	95.35562428	108.925241	114.0010402
Cox7c	1244.086206	1245.999644	939.7014961	982.2740273	1484.972441	2257.450636	1052.919479
Pitpna	65.90023606	97.50132131	123.905788	138.4324152	128.7648941	189.2034767	141.8897067
Mlx	21.79969786	25.77621138	28.41572738	23.84481792	29.58112432	25.31595815	22.99591798
Retreg3	29.06626381	33.62114528	37.99777498	32.78662465	39.67350791	43.30361262	33.75996469
Jph2	2.004569918	0.896563874	1.321661739	1.655890134	5.220198409	0.999314137	0.978549701
Dhx58	1.002284959	0.672422906	0.991246304	1.324712107	1.392052909	0.333104712	0
Rab5a	67.90480598	104.6738323	132.1661739	127.1723623	131.2009867	186.2055343	163.907075
Nkiras2	51.36710416	77.77691608	90.86424452	70.87209772	90.13542587	20.65249217	11.25332156
Ppp2r5c	71.66337458	91.8977971	108.3762626	120.8799798	105.4480079	113.2556022	164.3963498
Ift52	19.5445567	21.51753298	13.54703282	12.91594304	8.700330682	11.65866494	8.806947311
Mybl2	30.82026249	20.84511007	5.947477823	3.311780267	2.784105818	0.333104712	0.978549701
Sgk2	0	0	0	0	0.696026455	4.996570687	2.446374253
